POSITION,TEAM,GAMES PLAYED,WIN,DRAW,LOSS,GOALS FOR,GOALS AGAINST,GOAL DIFFERENCE,POINTS,YEAR,HOST,CHAMPION,RUNNER UP,THIRD PLACE,TEAMS,MATCHES PLAYED,GOALS SCORED,AVG GOALS PER GAME
21,Bolivia,3,0,1,2,1,4,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Cameroon,3,0,1,2,3,11,−8,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,Morocco,3,0,0,3,2,5,−3,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,Greece,3,0,0,3,0,10,−10,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,Italy,7,4,3,0,12,6,6,11,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,West Germany,7,3,2,2,12,10,2,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Poland,7,3,3,1,11,5,6,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,France,7,3,2,2,16,12,4,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Brazil,5,4,0,1,15,6,9,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,England,5,3,2,0,6,1,5,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Soviet Union,5,2,2,1,7,4,3,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Austria,5,2,1,2,5,4,1,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Northern Ireland,5,1,3,1,5,7,−2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Belgium,5,2,1,2,3,5,−2,5,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Argentina,5,2,0,3,8,7,1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Spain,5,1,2,2,4,5,−1,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Algeria,3,2,0,1,5,5,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Hungary,3,1,1,1,12,6,6,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Scotland,3,1,1,1,8,8,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,Yugoslavia,3,1,1,1,2,2,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
17,Cameroon,3,0,3,0,1,1,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
18,Honduras,3,0,2,1,2,3,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
19,Czechoslovakia,3,0,2,1,2,4,−2,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
20,Peru,3,0,2,1,2,6,−4,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
21,Kuwait,3,0,1,2,2,6,−4,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
22,Chile,3,0,0,3,3,8,−5,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
23,New Zealand,3,0,0,3,2,12,−10,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
24,El Salvador,3,0,0,3,1,13,−12,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,West Germany,6,5,0,1,25,14,11,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,Hungary,5,4,0,1,27,10,17,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Austria,5,4,0,1,17,12,5,8,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Uruguay,5,3,0,2,16,9,7,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,Switzerland,4,2,0,2,11,11,0,4,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Brazil,3,1,1,1,8,5,3,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,England,3,1,1,1,8,8,0,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Yugoslavia,3,1,1,1,2,3,−1,3,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Turkey,3,1,0,2,10,11,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Italy,3,1,0,2,6,7,−1,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,France,2,1,0,1,3,3,0,2,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
12,Belgium,2,0,1,1,5,8,−3,1,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
13,Mexico,2,0,0,2,2,8,−6,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
14,Czechoslovakia,2,0,0,2,0,7,−7,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
15,Scotland,2,0,0,2,0,8,−8,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
16,South Korea,2,0,0,2,0,16,−16,0,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
1,Argentina,7,6,0,1,15,8,7,18,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
2,France,7,5,0,2,16,8,8,15,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
3,Croatia,7,4,2,1,8,7,1,14,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
4,Morocco,7,4,1,2,6,5,1,13,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
5,England,5,3,1,1,13,4,9,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
6,Netherlands,5,3,1,1,10,4,6,10,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
7,Portugal,5,3,0,2,12,6,6,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
8,Brazil,5,3,0,2,8,3,5,9,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
9,Japan,4,2,0,2,5,4,1,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
10,Senegal,4,2,0,2,5,7,-2,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
11,Australia,4,2,0,2,4,6,-2,6,1930,Uruguay,Uruguay,Argentina,United States,13,16,70,3.6
